ru1910.SHFE,
'ask_price_1': 10620.0, 'ask_price_2': 0, 'ask_price_3': 0, 'ask_price_4': 0, 'ask_price_5': 0, 'ask_volume_1': 2, 'ask_volume_2': 0, 'ask_volume_3': 0, 'ask_volume_4': 0, 'ask_volume_5': 0, 'average_price': 106268.75, 'bid_price_1': 10570.0, 'bid_price_2': 0, 'bid_price_3': 0, 'bid_price_4': 0, 'bid_price_5': 0, 'bid_volume_1': 2, 'bid_volume_2': 0, 'bid_volume_3': 0, 'bid_volume_4': 0, 'bid_volume_5': 0, 'datetime': '2019-08-09 05:10:53', 'exchange': 'SHFE', 'gateway_name': 'ctp', 'high_price': 10675.0, 'last_price': 10570.0, 'last_volume': 0, 'limit_down': 9855.0, 'limit_up': 11340.0, 'local_symbol': 'ru1910.SHFE', 'low_price': 10505.0, 'name': '天然橡胶1910', 'open_interest': 130.0, 'open_price': 10625.0, 'preSettlementPrice': 10600.0, 'pre_close': 10660.0, 'symbol': 'ru1910', 'volume': 64,
'ask_price_1': 10620.0, 'ask_price_2': 0, 'ask_price_3': 0, 'ask_price_4': 0, 'ask_price_5': 0, 'ask_volume_1': 3, 'ask_volume_2': 0, 'ask_volume_3': 0, 'ask_volume_4': 0, 'ask_volume_5': 0, 'average_price': 106268.75, 'bid_price_1': 10570.0, 'bid_price_2': 0, 'bid_price_3': 0, 'bid_price_4': 0, 'bid_price_5': 0, 'bid_volume_1': 2, 'bid_volume_2': 0, 'bid_volume_3': 0, 'bid_volume_4': 0, 'bid_volume_5': 0, 'datetime': '2019-08-09 05:11:31', 'exchange': 'SHFE', 'gateway_name': 'ctp', 'high_price': 10675.0, 'last_price': 10570.0, 'last_volume': 0, 'limit_down': 9855.0, 'limit_up': 11340.0, 'local_symbol': 'ru1910.SHFE', 'low_price': 10505.0, 'name': '天然橡胶1910', 'open_interest': 130.0, 'open_price': 10625.0, 'preSettlementPrice': 10600.0, 'pre_close': 10660.0, 'symbol': 'ru1910', 'volume': 64,
'ask_price_1': 10620.0, 'ask_price_2': 0, 'ask_price_3': 0, 'ask_price_4': 0, 'ask_price_5': 0, 'ask_volume_1': 3, 'ask_volume_2': 0, 'ask_volume_3': 0, 'ask_volume_4': 0, 'ask_volume_5': 0, 'average_price': 106268.75, 'bid_price_1': 10570.0, 'bid_price_2': 0, 'bid_price_3': 0, 'bid_price_4': 0, 'bid_price_5': 0, 'bid_volume_1': 1, 'bid_volume_2': 0, 'bid_volume_3': 0, 'bid_volume_4': 0, 'bid_volume_5': 0, 'datetime': '2019-08-09 05:11:32', 'exchange': 'SHFE', 'gateway_name': 'ctp', 'high_price': 10675.0, 'last_price': 10570.0, 'last_volume': 0, 'limit_down': 9855.0, 'limit_up': 11340.0, 'local_symbol': 'ru1910.SHFE', 'low_price': 10505.0, 'name': '天然橡胶1910', 'open_interest': 130.0, 'open_price': 10625.0, 'preSettlementPrice': 10600.0, 'pre_close': 10660.0, 'symbol': 'ru1910', 'volume': 64,
'ask_price_1': 10620.0, 'ask_price_2': 0, 'ask_price_3': 0, 'ask_price_4': 0, 'ask_price_5': 0, 'ask_volume_1': 3, 'ask_volume_2': 0, 'ask_volume_3': 0, 'ask_volume_4': 0, 'ask_volume_5': 0, 'average_price': 106268.75, 'bid_price_1': 10565.0, 'bid_price_2': 0, 'bid_price_3': 0, 'bid_price_4': 0, 'bid_price_5': 0, 'bid_volume_1': 2, 'bid_volume_2': 0, 'bid_volume_3': 0, 'bid_volume_4': 0, 'bid_volume_5': 0, 'datetime': '2019-08-09 05:11:33', 'exchange': 'SHFE', 'gateway_name': 'ctp', 'high_price': 10675.0, 'last_price': 10570.0, 'last_volume': 0, 'limit_down': 9855.0, 'limit_up': 11340.0, 'local_symbol': 'ru1910.SHFE', 'low_price': 10505.0, 'name': '天然橡胶1910', 'open_interest': 130.0, 'open_price': 10625.0, 'preSettlementPrice': 10600.0, 'pre_close': 10660.0, 'symbol': 'ru1910', 'volume': 64,
'ask_price_1': 10620.0, 'ask_price_2': 0, 'ask_price_3': 0, 'ask_price_4': 0, 'ask_price_5': 0, 'ask_volume_1': 2, 'ask_volume_2': 0, 'ask_volume_3': 0, 'ask_volume_4': 0, 'ask_volume_5': 0, 'average_price': 106268.75, 'bid_price_1': 10565.0, 'bid_price_2': 0, 'bid_price_3': 0, 'bid_price_4': 0, 'bid_price_5': 0, 'bid_volume_1': 1, 'bid_volume_2': 0, 'bid_volume_3': 0, 'bid_volume_4': 0, 'bid_volume_5': 0, 'datetime': '2019-08-09 05:11:34', 'exchange': 'SHFE', 'gateway_name': 'ctp', 'high_price': 10675.0, 'last_price': 10570.0, 'last_volume': 0, 'limit_down': 9855.0, 'limit_up': 11340.0, 'local_symbol': 'ru1910.SHFE', 'low_price': 10505.0, 'name': '天然橡胶1910', 'open_interest': 130.0, 'open_price': 10625.0, 'preSettlementPrice': 10600.0, 'pre_close': 10660.0, 'symbol': 'ru1910', 'volume': 64,
'ask_price_1': 10600.0, 'ask_price_2': 0, 'ask_price_3': 0, 'ask_price_4': 0, 'ask_price_5': 0, 'ask_volume_1': 1, 'ask_volume_2': 0, 'ask_volume_3': 0, 'ask_volume_4': 0, 'ask_volume_5': 0, 'average_price': 106268.75, 'bid_price_1': 10565.0, 'bid_price_2': 0, 'bid_price_3': 0, 'bid_price_4': 0, 'bid_price_5': 0, 'bid_volume_1': 1, 'bid_volume_2': 0, 'bid_volume_3': 0, 'bid_volume_4': 0, 'bid_volume_5': 0, 'datetime': '2019-08-09 05:11:35', 'exchange': 'SHFE', 'gateway_name': 'ctp', 'high_price': 10675.0, 'last_price': 10570.0, 'last_volume': 0, 'limit_down': 9855.0, 'limit_up': 11340.0, 'local_symbol': 'ru1910.SHFE', 'low_price': 10505.0, 'name': '天然橡胶1910', 'open_interest': 130.0, 'open_price': 10625.0, 'preSettlementPrice': 10600.0, 'pre_close': 10660.0, 'symbol': 'ru1910', 'volume': 64,
'ask_price_1': 10600.0, 'ask_price_2': 0, 'ask_price_3': 0, 'ask_price_4': 0, 'ask_price_5': 0, 'ask_volume_1': 1, 'ask_volume_2': 0, 'ask_volume_3': 0, 'ask_volume_4': 0, 'ask_volume_5': 0, 'average_price': 106268.75, 'bid_price_1': 10550.0, 'bid_price_2': 0, 'bid_price_3': 0, 'bid_price_4': 0, 'bid_price_5': 0, 'bid_volume_1': 3, 'bid_volume_2': 0, 'bid_volume_3': 0, 'bid_volume_4': 0, 'bid_volume_5': 0, 'datetime': '2019-08-09 05:11:36', 'exchange': 'SHFE', 'gateway_name': 'ctp', 'high_price': 10675.0, 'last_price': 10570.0, 'last_volume': 0, 'limit_down': 9855.0, 'limit_up': 11340.0, 'local_symbol': 'ru1910.SHFE', 'low_price': 10505.0, 'name': '天然橡胶1910', 'open_interest': 130.0, 'open_price': 10625.0, 'preSettlementPrice': 10600.0, 'pre_close': 10660.0, 'symbol': 'ru1910', 'volume': 64,
'ask_price_1': 10600.0, 'ask_price_2': 0, 'ask_price_3': 0, 'ask_price_4': 0, 'ask_price_5': 0, 'ask_volume_1': 1, 'ask_volume_2': 0, 'ask_volume_3': 0, 'ask_volume_4': 0, 'ask_volume_5': 0, 'average_price': 106268.75, 'bid_price_1': 10555.0, 'bid_price_2': 0, 'bid_price_3': 0, 'bid_price_4': 0, 'bid_price_5': 0, 'bid_volume_1': 4, 'bid_volume_2': 0, 'bid_volume_3': 0, 'bid_volume_4': 0, 'bid_volume_5': 0, 'datetime': '2019-08-09 05:11:37', 'exchange': 'SHFE', 'gateway_name': 'ctp', 'high_price': 10675.0, 'last_price': 10570.0, 'last_volume': 0, 'limit_down': 9855.0, 'limit_up': 11340.0, 'local_symbol': 'ru1910.SHFE', 'low_price': 10505.0, 'name': '天然橡胶1910', 'open_interest': 130.0, 'open_price': 10625.0, 'preSettlementPrice': 10600.0, 'pre_close': 10660.0, 'symbol': 'ru1910', 'volume': 64,
'ask_price_1': 10600.0, 'ask_price_2': 0, 'ask_price_3': 0, 'ask_price_4': 0, 'ask_price_5': 0, 'ask_volume_1': 1, 'ask_volume_2': 0, 'ask_volume_3': 0, 'ask_volume_4': 0, 'ask_volume_5': 0, 'average_price': 106268.75, 'bid_price_1': 10555.0, 'bid_price_2': 0, 'bid_price_3': 0, 'bid_price_4': 0, 'bid_price_5': 0, 'bid_volume_1': 2, 'bid_volume_2': 0, 'bid_volume_3': 0, 'bid_volume_4': 0, 'bid_volume_5': 0, 'datetime': '2019-08-09 05:11:43', 'exchange': 'SHFE', 'gateway_name': 'ctp', 'high_price': 10675.0, 'last_price': 10570.0, 'last_volume': 0, 'limit_down': 9855.0, 'limit_up': 11340.0, 'local_symbol': 'ru1910.SHFE', 'low_price': 10505.0, 'name': '天然橡胶1910', 'open_interest': 130.0, 'open_price': 10625.0, 'preSettlementPrice': 10600.0, 'pre_close': 10660.0, 'symbol': 'ru1910', 'volume': 64,
'ask_price_1': 10600.0, 'ask_price_2': 0, 'ask_price_3': 0, 'ask_price_4': 0, 'ask_price_5': 0, 'ask_volume_1': 1, 'ask_volume_2': 0, 'ask_volume_3': 0, 'ask_volume_4': 0, 'ask_volume_5': 0, 'average_price': 106268.75, 'bid_price_1': 10560.0, 'bid_price_2': 0, 'bid_price_3': 0, 'bid_price_4': 0, 'bid_price_5': 0, 'bid_volume_1': 2, 'bid_volume_2': 0, 'bid_volume_3': 0, 'bid_volume_4': 0, 'bid_volume_5': 0, 'datetime': '2019-08-09 05:11:53', 'exchange': 'SHFE', 'gateway_name': 'ctp', 'high_price': 10675.0, 'last_price': 10570.0, 'last_volume': 0, 'limit_down': 9855.0, 'limit_up': 11340.0, 'local_symbol': 'ru1910.SHFE', 'low_price': 10505.0, 'name': '天然橡胶1910', 'open_interest': 130.0, 'open_price': 10625.0, 'preSettlementPrice': 10600.0, 'pre_close': 10660.0, 'symbol': 'ru1910', 'volume': 64,
'ask_price_1': 10600.0, 'ask_price_2': 0, 'ask_price_3': 0, 'ask_price_4': 0, 'ask_price_5': 0, 'ask_volume_1': 1, 'ask_volume_2': 0, 'ask_volume_3': 0, 'ask_volume_4': 0, 'ask_volume_5': 0, 'average_price': 106268.75, 'bid_price_1': 10565.0, 'bid_price_2': 0, 'bid_price_3': 0, 'bid_price_4': 0, 'bid_price_5': 0, 'bid_volume_1': 1, 'bid_volume_2': 0, 'bid_volume_3': 0, 'bid_volume_4': 0, 'bid_volume_5': 0, 'datetime': '2019-08-09 05:11:54', 'exchange': 'SHFE', 'gateway_name': 'ctp', 'high_price': 10675.0, 'last_price': 10570.0, 'last_volume': 0, 'limit_down': 9855.0, 'limit_up': 11340.0, 'local_symbol': 'ru1910.SHFE', 'low_price': 10505.0, 'name': '天然橡胶1910', 'open_interest': 130.0, 'open_price': 10625.0, 'preSettlementPrice': 10600.0, 'pre_close': 10660.0, 'symbol': 'ru1910', 'volume': 64,
'ask_price_1': 10600.0, 'ask_price_2': 0, 'ask_price_3': 0, 'ask_price_4': 0, 'ask_price_5': 0, 'ask_volume_1': 1, 'ask_volume_2': 0, 'ask_volume_3': 0, 'ask_volume_4': 0, 'ask_volume_5': 0, 'average_price': 106268.75, 'bid_price_1': 10570.0, 'bid_price_2': 0, 'bid_price_3': 0, 'bid_price_4': 0, 'bid_price_5': 0, 'bid_volume_1': 1, 'bid_volume_2': 0, 'bid_volume_3': 0, 'bid_volume_4': 0, 'bid_volume_5': 0, 'datetime': '2019-08-09 05:14:53', 'exchange': 'SHFE', 'gateway_name': 'ctp', 'high_price': 10675.0, 'last_price': 10570.0, 'last_volume': 0, 'limit_down': 9855.0, 'limit_up': 11340.0, 'local_symbol': 'ru1910.SHFE', 'low_price': 10505.0, 'name': '天然橡胶1910', 'open_interest': 130.0, 'open_price': 10625.0, 'preSettlementPrice': 10600.0, 'pre_close': 10660.0, 'symbol': 'ru1910', 'volume': 64,
'ask_price_1': 10600.0, 'ask_price_2': 0, 'ask_price_3': 0, 'ask_price_4': 0, 'ask_price_5': 0, 'ask_volume_1': 1, 'ask_volume_2': 0, 'ask_volume_3': 0, 'ask_volume_4': 0, 'ask_volume_5': 0, 'average_price': 106268.75, 'bid_price_1': 10570.0, 'bid_price_2': 0, 'bid_price_3': 0, 'bid_price_4': 0, 'bid_price_5': 0, 'bid_volume_1': 1, 'bid_volume_2': 0, 'bid_volume_3': 0, 'bid_volume_4': 0, 'bid_volume_5': 0, 'datetime': '2019-08-09 05:14:54', 'exchange': 'SHFE', 'gateway_name': 'ctp', 'high_price': 10675.0, 'last_price': 10570.0, 'last_volume': 0, 'limit_down': 9855.0, 'limit_up': 11340.0, 'local_symbol': 'ru1910.SHFE', 'low_price': 10505.0, 'name': '天然橡胶1910', 'open_interest': 130.0, 'open_price': 10625.0, 'preSettlementPrice': 10600.0, 'pre_close': 10660.0, 'symbol': 'ru1910', 'volume': 64,
'ask_price_1': 10600.0, 'ask_price_2': 0, 'ask_price_3': 0, 'ask_price_4': 0, 'ask_price_5': 0, 'ask_volume_1': 1, 'ask_volume_2': 0, 'ask_volume_3': 0, 'ask_volume_4': 0, 'ask_volume_5': 0, 'average_price': 106268.75, 'bid_price_1': 10580.0, 'bid_price_2': 0, 'bid_price_3': 0, 'bid_price_4': 0, 'bid_price_5': 0, 'bid_volume_1': 1, 'bid_volume_2': 0, 'bid_volume_3': 0, 'bid_volume_4': 0, 'bid_volume_5': 0, 'datetime': '2019-08-09 05:14:55', 'exchange': 'SHFE', 'gateway_name': 'ctp', 'high_price': 10675.0, 'last_price': 10570.0, 'last_volume': 0, 'limit_down': 9855.0, 'limit_up': 11340.0, 'local_symbol': 'ru1910.SHFE', 'low_price': 10505.0, 'name': '天然橡胶1910', 'open_interest': 130.0, 'open_price': 10625.0, 'preSettlementPrice': 10600.0, 'pre_close': 10660.0, 'symbol': 'ru1910', 'volume': 64,
'ask_price_1': 10600.0, 'ask_price_2': 0, 'ask_price_3': 0, 'ask_price_4': 0, 'ask_price_5': 0, 'ask_volume_1': 1, 'ask_volume_2': 0, 'ask_volume_3': 0, 'ask_volume_4': 0, 'ask_volume_5': 0, 'average_price': 106268.75, 'bid_price_1': 10580.0, 'bid_price_2': 0, 'bid_price_3': 0, 'bid_price_4': 0, 'bid_price_5': 0, 'bid_volume_1': 1, 'bid_volume_2': 0, 'bid_volume_3': 0, 'bid_volume_4': 0, 'bid_volume_5': 0, 'datetime': '2019-08-09 05:14:57', 'exchange': 'SHFE', 'gateway_name': 'ctp', 'high_price': 10675.0, 'last_price': 10570.0, 'last_volume': 0, 'limit_down': 9855.0, 'limit_up': 11340.0, 'local_symbol': 'ru1910.SHFE', 'low_price': 10505.0, 'name': '天然橡胶1910', 'open_interest': 130.0, 'open_price': 10625.0, 'preSettlementPrice': 10600.0, 'pre_close': 10660.0, 'symbol': 'ru1910', 'volume': 64,
'ask_price_1': 10600.0, 'ask_price_2': 0, 'ask_price_3': 0, 'ask_price_4': 0, 'ask_price_5': 0, 'ask_volume_1': 1, 'ask_volume_2': 0, 'ask_volume_3': 0, 'ask_volume_4': 0, 'ask_volume_5': 0, 'average_price': 106268.75, 'bid_price_1': 10585.0, 'bid_price_2': 0, 'bid_price_3': 0, 'bid_price_4': 0, 'bid_price_5': 0, 'bid_volume_1': 1, 'bid_volume_2': 0, 'bid_volume_3': 0, 'bid_volume_4': 0, 'bid_volume_5': 0, 'datetime': '2019-08-09 05:14:58', 'exchange': 'SHFE', 'gateway_name': 'ctp', 'high_price': 10675.0, 'last_price': 10570.0, 'last_volume': 0, 'limit_down': 9855.0, 'limit_up': 11340.0, 'local_symbol': 'ru1910.SHFE', 'low_price': 10505.0, 'name': '天然橡胶1910', 'open_interest': 130.0, 'open_price': 10625.0, 'preSettlementPrice': 10600.0, 'pre_close': 10660.0, 'symbol': 'ru1910', 'volume': 64,
'ask_price_1': 10600.0, 'ask_price_2': 0, 'ask_price_3': 0, 'ask_price_4': 0, 'ask_price_5': 0, 'ask_volume_1': 1, 'ask_volume_2': 0, 'ask_volume_3': 0, 'ask_volume_4': 0, 'ask_volume_5': 0, 'average_price': 106268.75, 'bid_price_1': 10560.0, 'bid_price_2': 0, 'bid_price_3': 0, 'bid_price_4': 0, 'bid_price_5': 0, 'bid_volume_1': 2, 'bid_volume_2': 0, 'bid_volume_3': 0, 'bid_volume_4': 0, 'bid_volume_5': 0, 'datetime': '2019-08-09 05:15:45', 'exchange': 'SHFE', 'gateway_name': 'ctp', 'high_price': 10675.0, 'last_price': 10570.0, 'last_volume': 0, 'limit_down': 9855.0, 'limit_up': 11340.0, 'local_symbol': 'ru1910.SHFE', 'low_price': 10505.0, 'name': '天然橡胶1910', 'open_interest': 130.0, 'open_price': 10625.0, 'preSettlementPrice': 10600.0, 'pre_close': 10660.0, 'symbol': 'ru1910', 'volume': 64,
'ask_price_1': 10605.0, 'ask_price_2': 0, 'ask_price_3': 0, 'ask_price_4': 0, 'ask_price_5': 0, 'ask_volume_1': 1, 'ask_volume_2': 0, 'ask_volume_3': 0, 'ask_volume_4': 0, 'ask_volume_5': 0, 'average_price': 106268.75, 'bid_price_1': 10580.0, 'bid_price_2': 0, 'bid_price_3': 0, 'bid_price_4': 0, 'bid_price_5': 0, 'bid_volume_1': 2, 'bid_volume_2': 0, 'bid_volume_3': 0, 'bid_volume_4': 0, 'bid_volume_5': 0, 'datetime': '2019-08-09 05:19:18', 'exchange': 'SHFE', 'gateway_name': 'ctp', 'high_price': 10675.0, 'last_price': 10570.0, 'last_volume': 0, 'limit_down': 9855.0, 'limit_up': 11340.0, 'local_symbol': 'ru1910.SHFE', 'low_price': 10505.0, 'name': '天然橡胶1910', 'open_interest': 130.0, 'open_price': 10625.0, 'preSettlementPrice': 10600.0, 'pre_close': 10660.0, 'symbol': 'ru1910', 'volume': 64,
'ask_price_1': 10610.0, 'ask_price_2': 0, 'ask_price_3': 0, 'ask_price_4': 0, 'ask_price_5': 0, 'ask_volume_1': 1, 'ask_volume_2': 0, 'ask_volume_3': 0, 'ask_volume_4': 0, 'ask_volume_5': 0, 'average_price': 106268.75, 'bid_price_1': 10580.0, 'bid_price_2': 0, 'bid_price_3': 0, 'bid_price_4': 0, 'bid_price_5': 0, 'bid_volume_1': 2, 'bid_volume_2': 0, 'bid_volume_3': 0, 'bid_volume_4': 0, 'bid_volume_5': 0, 'datetime': '2019-08-09 05:19:33', 'exchange': 'SHFE', 'gateway_name': 'ctp', 'high_price': 10675.0, 'last_price': 10570.0, 'last_volume': 0, 'limit_down': 9855.0, 'limit_up': 11340.0, 'local_symbol': 'ru1910.SHFE', 'low_price': 10505.0, 'name': '天然橡胶1910', 'open_interest': 130.0, 'open_price': 10625.0, 'preSettlementPrice': 10600.0, 'pre_close': 10660.0, 'symbol': 'ru1910', 'volume': 64,
'ask_price_1': 10650.0, 'ask_price_2': 0, 'ask_price_3': 0, 'ask_price_4': 0, 'ask_price_5': 0, 'ask_volume_1': 2, 'ask_volume_2': 0, 'ask_volume_3': 0, 'ask_volume_4': 0, 'ask_volume_5': 0, 'average_price': 106268.75, 'bid_price_1': 10585.0, 'bid_price_2': 0, 'bid_price_3': 0, 'bid_price_4': 0, 'bid_price_5': 0, 'bid_volume_1': 1, 'bid_volume_2': 0, 'bid_volume_3': 0, 'bid_volume_4': 0, 'bid_volume_5': 0, 'datetime': '2019-08-09 05:19:52', 'exchange': 'SHFE', 'gateway_name': 'ctp', 'high_price': 10675.0, 'last_price': 10570.0, 'last_volume': 0, 'limit_down': 9855.0, 'limit_up': 11340.0, 'local_symbol': 'ru1910.SHFE', 'low_price': 10505.0, 'name': '天然橡胶1910', 'open_interest': 130.0, 'open_price': 10625.0, 'preSettlementPrice': 10600.0, 'pre_close': 10660.0, 'symbol': 'ru1910', 'volume': 64,
'ask_price_1': 10625.0, 'ask_price_2': 0, 'ask_price_3': 0, 'ask_price_4': 0, 'ask_price_5': 0, 'ask_volume_1': 1, 'ask_volume_2': 0, 'ask_volume_3': 0, 'ask_volume_4': 0, 'ask_volume_5': 0, 'average_price': 106268.75, 'bid_price_1': 10595.0, 'bid_price_2': 0, 'bid_price_3': 0, 'bid_price_4': 0, 'bid_price_5': 0, 'bid_volume_1': 1, 'bid_volume_2': 0, 'bid_volume_3': 0, 'bid_volume_4': 0, 'bid_volume_5': 0, 'datetime': '2019-08-09 05:19:53', 'exchange': 'SHFE', 'gateway_name': 'ctp', 'high_price': 10675.0, 'last_price': 10570.0, 'last_volume': 0, 'limit_down': 9855.0, 'limit_up': 11340.0, 'local_symbol': 'ru1910.SHFE', 'low_price': 10505.0, 'name': '天然橡胶1910', 'open_interest': 130.0, 'open_price': 10625.0, 'preSettlementPrice': 10600.0, 'pre_close': 10660.0, 'symbol': 'ru1910', 'volume': 64,
'ask_price_1': 10625.0, 'ask_price_2': 0, 'ask_price_3': 0, 'ask_price_4': 0, 'ask_price_5': 0, 'ask_volume_1': 1, 'ask_volume_2': 0, 'ask_volume_3': 0, 'ask_volume_4': 0, 'ask_volume_5': 0, 'average_price': 106268.75, 'bid_price_1': 10600.0, 'bid_price_2': 0, 'bid_price_3': 0, 'bid_price_4': 0, 'bid_price_5': 0, 'bid_volume_1': 1, 'bid_volume_2': 0, 'bid_volume_3': 0, 'bid_volume_4': 0, 'bid_volume_5': 0, 'datetime': '2019-08-09 05:19:55', 'exchange': 'SHFE', 'gateway_name': 'ctp', 'high_price': 10675.0, 'last_price': 10570.0, 'last_volume': 0, 'limit_down': 9855.0, 'limit_up': 11340.0, 'local_symbol': 'ru1910.SHFE', 'low_price': 10505.0, 'name': '天然橡胶1910', 'open_interest': 130.0, 'open_price': 10625.0, 'preSettlementPrice': 10600.0, 'pre_close': 10660.0, 'symbol': 'ru1910', 'volume': 64,
'ask_price_1': 10625.0, 'ask_price_2': 0, 'ask_price_3': 0, 'ask_price_4': 0, 'ask_price_5': 0, 'ask_volume_1': 1, 'ask_volume_2': 0, 'ask_volume_3': 0, 'ask_volume_4': 0, 'ask_volume_5': 0, 'average_price': 106268.75, 'bid_price_1': 10605.0, 'bid_price_2': 0, 'bid_price_3': 0, 'bid_price_4': 0, 'bid_price_5': 0, 'bid_volume_1': 1, 'bid_volume_2': 0, 'bid_volume_3': 0, 'bid_volume_4': 0, 'bid_volume_5': 0, 'datetime': '2019-08-09 05:19:56', 'exchange': 'SHFE', 'gateway_name': 'ctp', 'high_price': 10675.0, 'last_price': 10570.0, 'last_volume': 0, 'limit_down': 9855.0, 'limit_up': 11340.0, 'local_symbol': 'ru1910.SHFE', 'low_price': 10505.0, 'name': '天然橡胶1910', 'open_interest': 130.0, 'open_price': 10625.0, 'preSettlementPrice': 10600.0, 'pre_close': 10660.0, 'symbol': 'ru1910', 'volume': 64,
'ask_price_1': 10625.0, 'ask_price_2': 0, 'ask_price_3': 0, 'ask_price_4': 0, 'ask_price_5': 0, 'ask_volume_1': 1, 'ask_volume_2': 0, 'ask_volume_3': 0, 'ask_volume_4': 0, 'ask_volume_5': 0, 'average_price': 106268.75, 'bid_price_1': 10610.0, 'bid_price_2': 0, 'bid_price_3': 0, 'bid_price_4': 0, 'bid_price_5': 0, 'bid_volume_1': 1, 'bid_volume_2': 0, 'bid_volume_3': 0, 'bid_volume_4': 0, 'bid_volume_5': 0, 'datetime': '2019-08-09 05:19:58', 'exchange': 'SHFE', 'gateway_name': 'ctp', 'high_price': 10675.0, 'last_price': 10570.0, 'last_volume': 0, 'limit_down': 9855.0, 'limit_up': 11340.0, 'local_symbol': 'ru1910.SHFE', 'low_price': 10505.0, 'name': '天然橡胶1910', 'open_interest': 130.0, 'open_price': 10625.0, 'preSettlementPrice': 10600.0, 'pre_close': 10660.0, 'symbol': 'ru1910', 'volume': 64,
